               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054234,             0.40784,            0.081986,            0.060262,             0.51041,            0.098424,            0.074455,                 nan,                 nan,                 nan,             0.07001,           0.0033322,           0.0033322
                   1,             0.03893,             0.34317,            0.075488,             0.43386,              0.4417,             0.39385,             0.29193,                 nan,                 nan,                 nan,            0.039878,           0.0065336,           0.0065336
                   2,            0.039146,             0.32871,            0.055453,             0.71948,             0.85501,             0.82194,             0.64695,                 nan,                 nan,                 nan,            0.009614,           0.0096029,           0.0096029
                   3,            0.037689,             0.31456,            0.033596,             0.98281,             0.96281,             0.98885,             0.81253,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   4,             0.03511,             0.29996,            0.024273,             0.99161,             0.98105,             0.99397,              0.8397,                 nan,                 nan,                 nan,            0.009406,            0.009406,            0.009406
                   5,            0.033394,             0.28893,            0.021156,             0.99393,             0.98642,             0.99451,              0.8527,                 nan,                 nan,                 nan,            0.009208,            0.009208,            0.009208
                   6,            0.032401,             0.28439,            0.019656,             0.99505,             0.98866,             0.99468,             0.86427,                 nan,                 nan,                 nan,             0.00901,             0.00901,             0.00901
                   7,            0.031331,             0.27552,            0.018351,             0.99572,             0.99115,             0.99481,             0.87149,                 nan,                 nan,                 nan,            0.008812,            0.008812,            0.008812
                   8,            0.030762,             0.27421,            0.017753,             0.99623,             0.99199,             0.99485,             0.87888,                 nan,                 nan,                 nan,            0.008614,            0.008614,            0.008614
                   9,            0.030189,             0.26985,            0.017115,             0.99685,             0.99295,             0.99486,             0.88382,                 nan,                 nan,                 nan,            0.008416,            0.008416,            0.008416
                  10,            0.029713,             0.26568,            0.016558,             0.99682,             0.99325,             0.99489,             0.88729,                 nan,                 nan,                 nan,            0.008218,            0.008218,            0.008218
                  11,             0.02935,             0.26396,            0.016229,             0.99753,             0.99406,             0.99491,             0.89218,                 nan,                 nan,                 nan,             0.00802,             0.00802,             0.00802
                  12,            0.028773,             0.25877,            0.015774,             0.99759,             0.99431,             0.99492,             0.89615,                 nan,                 nan,                 nan,            0.007822,            0.007822,            0.007822
                  13,            0.028577,             0.25783,            0.015544,             0.99775,             0.99464,             0.99492,             0.89788,                 nan,                 nan,                 nan,            0.007624,            0.007624,            0.007624
                  14,            0.028128,              0.2537,            0.015119,             0.99801,             0.99497,             0.99494,             0.90089,                 nan,                 nan,                 nan,            0.007426,            0.007426,            0.007426
                  15,            0.027947,             0.25354,            0.014969,             0.99816,              0.9953,             0.99495,             0.90371,                 nan,                 nan,                 nan,            0.007228,            0.007228,            0.007228
                  16,            0.027583,             0.25068,            0.014706,             0.99827,             0.99529,             0.99495,             0.90554,                 nan,                 nan,                 nan,             0.00703,             0.00703,             0.00703
                  17,            0.027385,             0.24852,            0.014608,             0.99831,              0.9956,             0.99495,             0.90735,                 nan,                 nan,                 nan,            0.006832,            0.006832,            0.006832
                  18,            0.027041,             0.24559,             0.01434,             0.99834,             0.99579,             0.99495,             0.90914,                 nan,                 nan,                 nan,            0.006634,            0.006634,            0.006634
                  19,            0.026855,             0.24428,            0.014125,             0.99853,               0.996,             0.99496,             0.91062,                 nan,                 nan,                 nan,            0.006436,            0.006436,            0.006436
                  20,            0.026741,             0.24463,            0.014113,             0.99863,              0.9962,             0.99496,             0.91181,                 nan,                 nan,                 nan,            0.006238,            0.006238,            0.006238
                  21,            0.026461,             0.24143,            0.013918,             0.99859,              0.9963,             0.99497,             0.91308,                 nan,                 nan,                 nan,             0.00604,             0.00604,             0.00604
                  22,             0.02637,             0.24209,            0.013884,             0.99864,             0.99633,             0.99497,             0.91406,                 nan,                 nan,                 nan,            0.005842,            0.005842,            0.005842
                  23,            0.026215,             0.24048,            0.013718,             0.99871,             0.99636,             0.99497,             0.91521,                 nan,                 nan,                 nan,            0.005644,            0.005644,            0.005644
                  24,            0.026103,             0.24114,            0.013756,              0.9988,             0.99658,             0.99497,             0.91638,                 nan,                 nan,                 nan,            0.005446,            0.005446,            0.005446
                  25,            0.025884,             0.23772,             0.01349,             0.99875,             0.99662,             0.99497,             0.91701,                 nan,                 nan,                 nan,            0.005248,            0.005248,            0.005248
                  26,            0.025677,             0.23619,            0.013373,             0.99885,             0.99666,             0.99497,             0.91774,                 nan,                 nan,                 nan,             0.00505,             0.00505,             0.00505
                  27,            0.025529,             0.23476,            0.013185,             0.99888,             0.99671,             0.99497,             0.91857,                 nan,                 nan,                 nan,            0.004852,            0.004852,            0.004852
                  28,            0.025305,             0.23428,            0.013152,             0.99895,             0.99684,             0.99497,             0.91926,                 nan,                 nan,                 nan,            0.004654,            0.004654,            0.004654
                  29,            0.025213,             0.23217,             0.01304,             0.99894,             0.99692,             0.99497,             0.91978,                 nan,                 nan,                 nan,            0.004456,            0.004456,            0.004456
                  30,            0.025075,             0.23176,            0.012981,             0.99897,             0.99692,             0.99497,             0.92038,                 nan,                 nan,                 nan,            0.004258,            0.004258,            0.004258
                  31,            0.024868,             0.23034,            0.012817,               0.999,             0.99701,             0.99497,             0.92078,                 nan,                 nan,                 nan,             0.00406,             0.00406,             0.00406
                  32,            0.024762,             0.22908,            0.012807,             0.99899,             0.99701,             0.99498,             0.92115,                 nan,                 nan,                 nan,            0.003862,            0.003862,            0.003862
                  33,            0.024697,             0.22919,            0.012763,             0.99899,             0.99703,             0.99498,             0.92165,                 nan,                 nan,                 nan,            0.003664,            0.003664,            0.003664
                  34,            0.024582,             0.22829,            0.012675,               0.999,             0.99704,             0.99498,             0.92197,                 nan,                 nan,                 nan,            0.003466,            0.003466,            0.003466
                  35,            0.024453,             0.22753,             0.01258,             0.99903,             0.99706,             0.99498,             0.92234,                 nan,                 nan,                 nan,            0.003268,            0.003268,            0.003268
                  36,            0.024232,             0.22503,            0.012433,             0.99901,              0.9971,             0.99498,             0.92268,                 nan,                 nan,                 nan,             0.00307,             0.00307,             0.00307
                  37,            0.024156,             0.22545,            0.012526,             0.99904,             0.99716,             0.99498,             0.92301,                 nan,                 nan,                 nan,            0.002872,            0.002872,            0.002872
                  38,            0.024031,             0.22446,              0.0124,             0.99906,             0.99717,             0.99498,             0.92323,                 nan,                 nan,                 nan,            0.002674,            0.002674,            0.002674
                  39,            0.023868,             0.22268,            0.012276,             0.99911,             0.99718,             0.99498,             0.92357,                 nan,                 nan,                 nan,            0.002476,            0.002476,            0.002476
                  40,            0.023669,             0.22115,            0.012153,             0.99911,             0.99721,             0.99498,              0.9238,                 nan,                 nan,                 nan,            0.002278,            0.002278,            0.002278
                  41,            0.023609,             0.22101,            0.012169,             0.99913,             0.99723,             0.99498,             0.92408,                 nan,                 nan,                 nan,             0.00208,             0.00208,             0.00208
                  42,            0.023276,             0.21616,            0.011902,             0.99913,             0.99722,             0.99498,             0.92439,                 nan,                 nan,                 nan,            0.001882,            0.001882,            0.001882
                  43,            0.023452,             0.21922,            0.012074,             0.99913,             0.99721,             0.99498,             0.92444,                 nan,                 nan,                 nan,            0.001684,            0.001684,            0.001684
                  44,            0.023284,              0.2179,            0.012025,             0.99914,             0.99722,             0.99498,             0.92474,                 nan,                 nan,                 nan,            0.001486,            0.001486,            0.001486
                  45,            0.022977,             0.21498,            0.011745,             0.99915,             0.99724,             0.99498,             0.92495,                 nan,                 nan,                 nan,            0.001288,            0.001288,            0.001288
                  46,             0.02298,             0.21465,            0.011736,             0.99917,             0.99726,             0.99498,               0.925,                 nan,                 nan,                 nan,             0.00109,             0.00109,             0.00109
                  47,            0.022713,             0.21194,            0.011583,             0.99916,             0.99729,             0.99498,              0.9252,                 nan,                 nan,                 nan,            0.000892,            0.000892,            0.000892
                  48,            0.022661,             0.21174,            0.011601,             0.99914,             0.99731,             0.99498,             0.92539,                 nan,                 nan,                 nan,            0.000694,            0.000694,            0.000694
                  49,            0.022597,             0.21137,            0.011548,             0.99914,             0.99732,             0.99498,             0.92552,                 nan,                 nan,                 nan,            0.000496,            0.000496,            0.000496
